date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:07:36	15926/15926	---MCZ	200	added ('OK')	text/html	etag:W/%22bd0afe6788e68cc87ba1ba557625c192%22	https://www.a2dpcfactory.com/	C:/My%20Web%20Sites/Boys/www.a2dpcfactory.com/index.html	(from )
18:07:36	3929/3929	---MCZ	200	added ('OK')	text/html	etag:W/%22bd0afe6788e68cc87ba1ba557625c192%22	https://www.a2dpcfactory.com/robots.txt		(from )
18:07:37	0/0	---M--	200	added ('OK')	image/x-icon	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://www.a2dpcfactory.com/img/favicon.ico	C:/My%20Web%20Sites/Boys/www.a2dpcfactory.com/img/favicon.ico	(from https://www.a2dpcfactory.com/)
18:07:38	13490/13490	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2011%20Feb%202025%2012:37:33%20GMT	https://kit.fontawesome.com/7432300432.js	C:/My%20Web%20Sites/Boys/kit.fontawesome.com/7432300432.js	(from https://www.a2dpcfactory.com/)
18:07:39	63666/63666	---MCZ	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/Boys/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://www.a2dpcfactory.com/)
18:07:39	16964/16964	---MCZ	200	added ('OK')	text/css	etag:W/%2249a9d2997750b3ff77389e0909374af3%22	https://www.a2dpcfactory.com/lib/animate/animate.min.css	C:/My%20Web%20Sites/Boys/www.a2dpcfactory.com/lib/animate/animate.min.css	(from https://www.a2dpcfactory.com/)
18:07:39	9058/9058	---MCZ	200	added ('OK')	text/css	etag:W/%229a7109f8d171e3b3c833ed5e0a0b96d9%22	https://www.a2dpcfactory.com/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	C:/My%20Web%20Sites/Boys/www.a2dpcfactory.com/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://www.a2dpcfactory.com/)
18:07:40	2936/2936	---MCZ	200	added ('OK')	text/css	etag:W/%22de0dfbabe627afa1b718d848b6b58e97%22	https://www.a2dpcfactory.com/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Boys/www.a2dpcfactory.com/lib/owlcarousel/assets/owl.carousel.min.css	(from https://www.a2dpcfactory.com/)
18:07:40	164360/164360	---MCZ	200	added ('OK')	text/css	etag:W/%2237d1138c77c7b468964d1c9e70dc24d3%22	https://www.a2dpcfactory.com/css/bootstrap.min.css	C:/My%20Web%20Sites/Boys/www.a2dpcfactory.com/css/bootstrap.min.css	(from https://www.a2dpcfactory.com/)
18:07:41	11651/11651	---MCZ	200	added ('OK')	text/css	etag:W/%22888568584d4800d8f0ad1e4eacbb401f%22	https://www.a2dpcfactory.com/css/style.css	C:/My%20Web%20Sites/Boys/www.a2dpcfactory.com/css/style.css	(from https://www.a2dpcfactory.com/)
